date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:35	221899/221899	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Oct%202020%2019:49:12%20GMT	https://osircourier.com/app/img/bg-img/breadcumb.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/bg-img/breadcumb.jpg	(from https://osircourier.com/app/faqs.php)
10:12:36	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont3e6e.eot	(from https://osircourier.com/app/css/font-awesome.min.css)
10:12:36	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont3e6e.woff2	(from https://osircourier.com/app/css/font-awesome.min.css)
10:12:36	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfontd41d.eot	(from https://osircourier.com/app/css/font-awesome.min.css)
10:12:36	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont3e6e.woff	(from https://osircourier.com/app/css/font-awesome.min.css)
10:12:37	18960/18960	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/icomoon.eot?yu9alg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/icomoon62b1.eot	(from https://osircourier.com/app/css/custom-icon.css)
10:12:37	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont3e6e.ttf	(from https://osircourier.com/app/css/font-awesome.min.css)
10:12:37	18796/18796	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/icomoon.ttf?yu9alg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/icomoon62b1.ttf	(from https://osircourier.com/app/css/custom-icon.css)
10:12:37	18872/18872	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/icomoon.woff?yu9alg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/icomoon62b1.woff	(from https://osircourier.com/app/css/custom-icon.css)
10:12:38	61147/61147	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/icomoon.svg?yu9alg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/icomoon62b1.svg	(from https://osircourier.com/app/css/custom-icon.css)
10:12:38	1264/1264	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/classy.eot?fftrrv	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/classycb9b.eot	(from https://osircourier.com/app/css/classy-nav.min.css)
10:12:38	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont3e6e.svg	(from https://osircourier.com/app/css/font-awesome.min.css)
10:12:39	1100/1100	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/classy.ttf?fftrrv	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/classycb9b.ttf	(from https://osircourier.com/app/css/classy-nav.min.css)
10:12:39	1176/1176	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/classy.woff?fftrrv	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/classycb9b.woff	(from https://osircourier.com/app/css/classy-nav.min.css)
10:12:39	781/781	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/classy.svg?fftrrv	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/classycb9b.svg	(from https://osircourier.com/app/css/classy-nav.min.css)
